data	indice_mes 	indice_acumulado_ano	indice_acumulado_12_meses	num_indice_acumulado_jan_1993
Jan/2021	0,25	0,2500	4,5591	1.436,6164
Fev/2021	0,86	1,1121	5,1953	1.448,9713
Mar/2021	0,93	2,0525	6,0993	1.462,4467
Abr/2021	0,31	2,3689	6,7592	1.466,9803
Mai/2021	0,83	3,2185	8,0559	1.479,1563
Jun/2021	0,53	3,7656	8,3469	1.486,9958
Jul/2021	0,96	4,7617	8,9945	1.501,2710
Ago/2021	0,87	5,6732	9,6797	1.514,3320
Set/2021	1,16	6,8990	10,2464	1.531,8983
Out/2021	1,25	8,2352	10,6727	1.551,0470
Nov/2021	0,95	9,2634	10,7385	1.565,7819
Dez/2021	0,73	10,0611	10,0611	1.577,2121